4648432,4667904,4501488,3432432,971760,1179136,1700848,1869312,1672688,184320,-934928,-910336,1348080,353264,87536,-2887168,-2243584,-1754128,-1289744,36848,761328,-192528,-148496,173056,-261136,-1470992,-1726464,-473616,754672,248304,721392,1165808,1120240,-351760,-881152,-1779728,-1577472,-1818112,605696,1290240,1841648,521712,361968,802304,730608,475136,-2048,-1547280,-1381888,-1809936,-1182208,-831488,480768,1150464,426496,-269328,353776,848896,1655792,869360,978944,-111632,1294336,1057280,519152,434688,-235520,-728064,-546816,-938496
-693776,-1238016,-14848,-1312272,-1041424,-1461264,-1663504,-553472,-181776,-1060864,-281088,-1399808,457200,1188336,1255424,1555952,481776,-304656,-366592,-722960,1033216,683520,1082880,985088,1759744,696320,1016832,-15376,256512,-630784,-1216512,-1544192,-828432,-339472,-399872,-405520,-85008,-562688,-1442320,-1043984,-1049600,-1942544,-2171904,-1474560,-1489920,-618000,46592,-1020432,310256,856560,1641984,1006576,697840,1633280,2399744,2368512,1250800,-179216,-25088,515568,1015296,496128,1375728,427504,-555008,-45584,-496656,-51200,569840,323568
180720,-832512,269824,-422912,799744,156160,-1406464,-1229840,-1299984,-2016768,-2405376,-1472000,-1203200,-1622032,-2314256,-1674768,-2532864,-2350592,-2830848,-1907200,-3300864,-2803200,-1550848,-785408,128496,773104,1130480,1815040,1633792,1918976,1322480,1101312,433664,-69648,-1533968,-1710096,-2414608,-2185728,-1551376,-906752,-643072,227312,-750592,-1157136,-257024,258032,-972288,-1298448,825328,881136,603648,-389136,779776,650224,634880,599536,1478656,1300464,499200,814064,135664,-848896,-1598480,-2270720,-1502224,-1867264,-160768,-375312,15856,1909744
1367024,1167872,749552,630768,950256,329728,323072,-448016,956400,558080,301552,197632,553968,391680,802304,186880,16880,663024,-935424,-238096,520176,297984,404464,-928784,-4608,1230848,2065408,2319360,2405888,2153456,1134576,1584128,191984,167424,350720,-348672,-2104832,238592,1666544,396784,373232,1338880,1682928,1414656,-8720,698864,691712,879104,813056,353280,-607760,-179728,-795648,-211472,-813584,-793616,-1207824,-919568,-815616,-73744,989680,805888,-201216,-86032,-222736,120816,2599936,2667504,121344,75264
16896,1269760,154112,-9216,296960,-705552,1246208,1981936,1437680,113136,-1651712,-1645568,-935424,-455696,-358928,1333760,1454576,758768,-65552,732672,221680,1084416,3514368,2096112,474608,243184,-621056,238592,728064,590320,-180224,-109072,788976,422912,-154112,-40976,139264,-1500672,-1695248,-1561616,326128,375296,507888,1423872,280048,408576,622080,208368,-851456,-750080,469488,1491952,522240,358912,160752,-1908736,-2077696,-477200,-396288,18928,-2156048,-893456,23040,872432,738304,526832,741888,-117264,441328,-59920
-195088,-398336,-1016320,-1434624,-1058816,-299008,-1471504,-1782288,-2065408,-874000,-733184,162288,-108048,-539152,-43024,730624,-937488,-710672,-529936,1606144,1054192,1580544,2285552,1801200,-78336,-826368,-1239040,-1962000,-1400320,-1730064,-1702416,-2043408,-366080,1464320,3411456,2660864,1276400,-88064,-195584,-1376784,-110080,179200,91632,-415744,-1331712,-2238992,-1198608,-889360,-1380880,-2212368,-1614336,-2258432,-2210304,-2115072,-1294848,692736,506864,1406464,242160,727024,-40960,1388544,1227264,1205232,359424,1309696,1745408,1599472,54768,-241664
387056,-1123344,-772112,203248,136192,-263696,-343568,-296960,-489984,-984064,-2619408,-583168,-1694208,-1740816,-1261056,-686592,783360,792560,-112144,390640,-65040,291312,1857520,1685504,875008,-2455552,-2028544,-2329616,-1796112,-21520,-796176,-188416,-338448,-320512,-949264,-884736,617984,614912,260608,-293888,726000,-835584,-1195024,-2526736,-1458176,-475136,-435728,581616,2143744,2008560,622080,-401424,-1576976,-1631232,-2255872,-285200,266240,838640,610800,1249280,-64512,-571904,-80384,485376,-559120,-1432576,334832,145920,-31744,-63488
-619024,-723968,19968,517104,-844304,-949776,-390656,435696,421888,280560,-472592,-971792,220160,-803840,-1384448,-877584,473072,2237440,1240048,811008,234480,62448,108032,195584,-201216,842240,833536,1495040,1336304,1302512,1245184,2230784,1187312,3156976,1384960,1380864,-528400,-1258512,-1117200,-102416,-289808,-83472,96768,2019312,372208,-1302544,-1369600,-988688,-652288,51712,933872,-490000,1554432,413680,73216,802304,840176,-5120,172528,-984576,26624,-1155584,-1829392,-2348048,-717312,-1748496,451072,239600,1266672,1520640
1449456,3185152,1512960,610800,1380352,-373760,113136,482816,-252416,-457232,-562688,385008,-135680,1345536,1081840,1424896,3080704,3805680,3914752,3006464,895488,2516992,432640,-1282576,-1359872,-1182720,59392,0,-261648,-672272,-1774608,-2292736,-1002000,-1239040,-2131968,-2427408,-833536,-606736,810480,-49664,545792,784368,209920,-379392,754672,53232,632816,89072,-1324560,-1853456,-1103360,-1454608,-1413632,-1043456,-442368,-667152,-1281040,-1409040,434176,385008,2979328,1390576,397312,1169392,1784832,477184,951808,-392704,-1684992,-2524688
-2589712,-1648144,-44544,1302528,2055152,2004480,1755632,1103856,311792,511984,-232960,-76304,-768512,1068016,541696,807936,1585648,1201664,228352,-943104,-1009664,-541696,1769456,1781248,1082864,-317456,124912,767488,1300480,1418752,993280,2059760,1422832,145920,1170432,1051648,1423360,1257984,-660480,-1162256,-1951232,-1914368,-1555968,-541184,-1081872,-1901056,-658432,-250880,-579584,-260096,-49664,-328192,-1118736,-1423888,-1166352,-1871872,-1821712,-1214480,388096,356864,1280000,-730112,-2869264,-2777088,-864256,1189888,370672,-518656,-410640,-459776
212480,39408,25584,745984,1798640,2293232,1176576,178672,-257040,-276496,-1543168,-1235968,-1617424,-706576,-932880,217584,-348176,-183808,-426000,790016,1585648,1147392,709104,496,-503296,253424,-1857536,-1947664,-982544,-96768,-1221632,-108560,-27648,-904208,-963072,-163344,-607232,-79872,453120,1346032,1132544,464384,298496,581120,-765456,538624,-480256,-1945600,-1291280,-2406928,-3088384,-2054144,-1761296,492016,478192,-367120,-1390080,-1388560,608256,1640448,300016,1953280,1730032,2092032,301568,357360,472560,79360,-375296,-135168
-527872,-383488,-949776,214000,-188416,-648704,-1325568,-1239552,-2406912,-1037840,-1088528,-1020944,-1361936,-1178624,-1898496,-1798672,-376336,1015808,1673200,2219504,332800,258544,863728,974320,676336,774656,29184,769024,-114704,1007088,264704,2423808,2024432,1656816,2509808,1792496,2530816,799728,449024,-302592,240640,-700416,231424,23536,-358416,875008,142320,633856,1307632,394752,535552,1177072,439280,-1161216,-805392,-364048,-624656,-307728,-431104,-820752,-1009680,-1486352,-1310720,-1026560,-3111936,-2665488,-2153488,-1740304,-1748480,-2692096
-2605568,-2579456,-1634816,-198672,-1111568,-1888768,-2622480,-2786816,-613392,962032,384496,421360,886272,584688,800768,-510992,606192,1259520,59904,304112,-1891856,-1469952,206320,326144,7152,-39936,-431120,-1295872,-1478672,-1937408,-1582080,-961024,-1241104,-1845264,41472,648192,826864,886272,1158128,1441792,2130432,2654208,2270192,2413568,290816,-666112,-199184,609792,-301584,-624640,-1902080,-434176,290800,860672,1567216,2206704,3128304,1597440,1591296,1145328,1501696,289264,-2231808,-3185152,-1927696,-610304,847856,655856,2493424,1456128
918000,459248,-779280,-1460240,-885248,247280,-1096192,-736768,343040,-68624,-885760,-1236992,-984576,-462336,-630800,-70144,1656320,1605120,518656,-555008,312832,730608,2018800,617984,551424,-615424,-1819136,-195600,-771584,-1959424,-782336,-493568,-350736,-1402384,-1537536,-1124352,-1483776,-845824,-1187328,-1515520,596464,-88576,-410128,710144,166912,-174096,643584,-529408,-366592,-874512,-83456,-732688,-292368,-394768,-352256,164352,1150960,-471552,-1077264,-973824,941040,-161296,-469520,-170512,1119728,2668544,2766848,631280,591872,1344496
1909760,1552368,2803712,3387376,1000960,557040,1312240,1457648,711168,773104,-5648,-413200,-845840,312816,215552,-1158160,303616,587264,-446976,-1036304,-273920,-160768,444400,-1073168,-862224,-367616,-307728,10752,234480,-727056,756208,2085872,61440,-2030096,-1809920,-1464848,-1481232,-3067392,-1655808,-596496,1497600,1687536,1605616,1652224,2590208,1929200,1854464,1139696,215536,503280,1419264,1754624,921600,84992,-72704,-259600,-479232,587248,580080,608768,679936,-968704,-395280,-962560,-501264,-942080,-1481728,-92688,389120,1539072
1521648,1901040,653296,240640,1724912,311296,-700432,-1290240,-629264,-555536,-345104,-47104,231920,1938944,2703344,2556416,210416,500720,62464,777216,-722944,-1427968,-788480,-348176,-1544192,-94208,922608,835568,483840,1019888,768512,-6160,1017328,-531456,-1106448,-1047040,-939024,-926736,-1043456,-2195472,-1679872,-1775104,-1507328,-3407360,-2184192,-888336,-1206800,-1622544,-472064,-155664,-1140240,33792,-462336,-1357328,-1527296,-903184,-1125392,-1037312,-1510416,414192,-88064,691696,530416,1612800,2375152,3394560,1399808,1345520,2098176,3090928
